"filename", "language", "C#", "comment", "blank", "total"
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Billboard.cs", "C#", 9, 0, 2, 11
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Editor\ApplyRootTransform.cs", "C#", 22, 1, 3, 26
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Editor\ApplyRootTransformEditor.cs", "C#", 20, 0, 3, 23
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\GameManager.cs", "C#", 106, 1, 15, 122
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\GizmoDrawer\GizmoCube.cs", "C#", 22, 0, 4, 26
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\GizmoDrawer\GizmoDrawer.cs", "C#", 14, 2, 5, 21
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\GizmoDrawer\GizmoRay.cs", "C#", 19, 0, 5, 24
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\GizmoDrawer\GizmoSphere.cs", "C#", 22, 0, 4, 26
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Networking\ClientNetworkAnimator.cs", "C#", 13, 8, 1, 22
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Networking\ClientNetworkTransform.cs", "C#", 13, 8, 1, 22
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Networking\SteamworksManager.cs", "C#", 119, 4, 25, 148
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Utils\DDoL.cs", "C#", 5, 0, 2, 7
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Utils\Debugger.cs", "C#", 15, 0, 4, 19
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Utils\Extensions.cs", "C#", 66, 8, 14, 88
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Utils\ListenerActivator.cs", "C#", 13, 0, 3, 16
"d:\!GameDev\ISUTC\Assets\Resources\!Common\Scripts\Utils\Utils.cs", "C#", 7, 0, 2, 9
"d:\!GameDev\ISUTC\Assets\Resources\Characters\!Common\Scripts\Sounds\AudioSourceLoudness.cs", "C#", 188, 12, 35, 235
"d:\!GameDev\ISUTC\Assets\Resources\Characters\!Common\Scripts\Sounds\Footsteps.cs", "C#", 28, 0, 4, 32
"d:\!GameDev\ISUTC\Assets\Resources\Characters\!Common\Scripts\Sounds\IHearing.cs", "C#", 4, 0, 1, 5
"d:\!GameDev\ISUTC\Assets\Resources\Characters\AI\Scripts\Core\AI.cs", "C#", 39, 0, 6, 45
"d:\!GameDev\ISUTC\Assets\Resources\Characters\AI\Scripts\Core\AIAnimator.cs", "C#", 23, 0, 6, 29
"d:\!GameDev\ISUTC\Assets\Resources\Characters\AI\Scripts\Core\AIDetection.cs", "C#", 95, 2, 21, 118
"d:\!GameDev\ISUTC\Assets\Resources\Characters\AI\Scripts\Core\AIMelee.cs", "C#", 40, 2, 7, 49
